weight_from,weight_to,qty_from,qty_to,region,region_label,shipping_cost,delivery_days,active
0.000,0.150,1,2,R1,R1,9.00,7,1
0.000,0.150,1,2,R2,R2,9.00,7,1
0.000,0.150,1,2,R3,R3,9.90,7,1
0.000,0.150,1,2,R4,R4,10.80,7,1
0.150,0.200,1,2,R1,R1,9.40,7,1
0.150,0.200,1,2,R2,R2,9.40,7,1
0.150,0.200,1,2,R3,R3,10.40,7,1
0.150,0.200,1,2,R4,R4,11.40,7,1
0.200,0.250,1,2,R1,R1,9.80,7,1
0.200,0.250,1,2,R2,R2,9.80,7,1
0.200,0.250,1,2,R3,R3,10.90,7,1
0.200,0.250,1,2,R4,R4,12.00,7,1
0.250,0.300,1,2,R1,R1,10.20,7,1
0.250,0.300,1,2,R2,R2,10.20,7,1
0.250,0.300,1,2,R3,R3,11.40,7,1
0.250,0.300,1,2,R4,R4,12.60,7,1
0.300,0.350,1,2,R1,R1,10.60,7,1
0.300,0.350,1,2,R2,R2,10.60,7,1
0.300,0.350,1,2,R3,R3,11.90,7,1
0.300,0.350,1,2,R4,R4,13.20,7,1
0.350,0.400,1,2,R1,R1,11.00,7,1
0.350,0.400,1,2,R2,R2,11.00,7,1
0.350,0.400,1,2,R3,R3,12.40,7,1
0.350,0.400,1,2,R4,R4,13.80,7,1
0.400,0.450,1,2,R1,R1,11.40,7,1
0.400,0.450,1,2,R2,R2,11.40,7,1
0.400,0.450,1,2,R3,R3,12.90,7,1
0.400,0.450,1,2,R4,R4,14.40,7,1
0.450,0.500,1,2,R1,R1,11.80,7,1
0.450,0.500,1,2,R2,R2,11.80,7,1
0.450,0.500,1,2,R3,R3,13.40,7,1
0.450,0.500,1,2,R4,R4,15.00,7,1
0.500,0.600,1,2,R1,R1,12.60,7,1
0.500,0.600,1,2,R2,R2,12.60,7,1
0.500,0.600,1,2,R3,R3,14.40,7,1
0.500,0.600,1,2,R4,R4,16.20,7,1
0.600,0.700,2,3,R1,R1,13.40,7,1
0.600,0.700,2,3,R2,R2,13.40,7,1
0.600,0.700,2,3,R3,R3,15.40,7,1
0.600,0.700,2,3,R4,R4,17.40,7,1
0.700,0.800,2,3,R1,R1,14.20,7,1
0.700,0.800,2,3,R2,R2,14.20,7,1
0.700,0.800,2,3,R3,R3,16.40,7,1
0.700,0.800,2,3,R4,R4,18.60,7,1
0.800,0.900,2,3,R1,R1,15.00,7,1
0.800,0.900,2,3,R2,R2,15.00,7,1
0.800,0.900,2,3,R3,R3,17.40,7,1
0.800,0.900,2,3,R4,R4,19.80,7,1
0.900,1.000,3,4,R1,R1,15.80,7,1
0.900,1.000,3,4,R2,R2,15.80,7,1
0.900,1.000,3,4,R3,R3,18.40,7,1
0.900,1.000,3,4,R4,R4,21.00,7,1
1.000,1.500,4,5,R1,R1,19.80,7,1
1.000,1.500,4,5,R2,R2,19.80,7,1
1.000,1.500,4,5,R3,R3,23.40,7,1
1.000,1.500,4,5,R4,R4,27.00,7,1
1.500,2.000,6,7,R1,R1,23.80,7,1
1.500,2.000,6,7,R2,R2,23.80,7,1
1.500,2.000,6,7,R3,R3,28.40,7,1
1.500,2.000,6,7,R4,R4,33.00,7,1
2.000,2.500,8,9,R1,R1,27.80,7,1
2.000,2.500,8,9,R2,R2,27.80,7,1
2.000,2.500,8,9,R3,R3,33.40,7,1
2.000,2.500,8,9,R4,R4,39.00,7,1
2.500,3.000,9,10,R1,R1,31.80,7,1
2.500,3.000,9,10,R2,R2,31.80,7,1
2.500,3.000,9,10,R3,R3,38.40,7,1
2.500,3.000,9,10,R4,R4,45.00,7,1
3.000,4.000,13,14,R1,R1,39.80,7,1
3.000,4.000,13,14,R2,R2,39.80,7,1
3.000,4.000,13,14,R3,R3,48.40,7,1
3.000,4.000,13,14,R4,R4,57.00,7,1
4.000,5.000,16,17,R1,R1,47.80,7,1
4.000,5.000,16,17,R2,R2,47.80,7,1
4.000,5.000,16,17,R3,R3,58.40,7,1
4.000,5.000,16,17,R4,R4,69.00,7,1
